mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile1,ImageFile2,MatchSimilar,SequenceNumber,participant,source,date,expName,psychopyVersion,OS,frameRate
-0.382508681,-0.266953125,1,0,0,13.19612,number3,0,0,0,0,1,IMS/08-HemigrapsusSanguineus-04.jpg,SimilarSameGenus/08-02-HemigrapsusOregonesis.jpg,SimilarSameGenus,51,3227,1,2021-03-31_14h45.44.822,Cognitive Biosecurity - Finding Dory,2020.1.3,MacIntel,60
-0.554982639,-0.250902778,1,0,0,6.39708,number1,0,1,1,1,1,IMS/09-HydroidesSanctaecrucis-04.jpg,SimilarSameFamily/09-01-FicopomatusEnigmaticus.jpg,SimilarSameFamily,51,3227,1,2021-03-31_14h45.44.822,Cognitive Biosecurity - Finding Dory,2020.1.3,MacIntel,60
-0.545655382,-0.284882813,1,0,0,7.930725,number1,0,2,2,2,1,IMS/15-PernaViridis-03.jpg,SimilarSameFamily/15-01-BrachidontesRostratus.jpg,SimilarSameFamily,51,3227,1,2021-03-31_14h45.44.822,Cognitive Biosecurity - Finding Dory,2020.1.3,MacIntel,60
0.248467882,-0.264084201,1,0,0,3.71235,number9,0,3,3,3,1,IMS/02-AsteriasAmurensis-01.jpg,SimilarSameFamily/02-01-PiasterOchraceus.jpg,SimilarSameFamily,51,3227,1,2021-03-31_14h45.44.822,Cognitive Biosecurity - Finding Dory,2020.1.3,MacIntel,60
-0.266063368,-0.270030382,1,0,0,8.162615,number4,0,4,4,4,1,IMS/04-CharybdisJaponica-04.jpg,SimilarSameOrder/04-01-GrapsusGrapsus.jpg,SimilarSameOrder,51,3227,1,2021-03-31_14h45.44.822,Cognitive Biosecurity - Finding Dory,2020.1.3,MacIntel,60
0.554079861,-0.244874132,1,0,0,3.52757,number12,0,5,5,5,1,IMS/02-AsteriasAmurensis-03.jpg,SimilarSameGenus/02-01-AsteriasRubens.jpg,SimilarSameGenus,51,3227,1,2021-03-31_14h45.44.822,Cognitive Biosecurity - Finding Dory,2020.1.3,MacIntel,60
0.079071181,-0.278463542,1,0,0,7.113545,number7,0,6,6,6,1,IMS/01-VaricorbulaGibba-03.jpg,SimilarSameGenus/01-02-VaricorbulaOperculata.jpg,SimilarSameGenus,51,3227,1,2021-03-31_14h45.44.822,Cognitive Biosecurity - Finding Dory,2020.1.3,MacIntel,60
0.169943576,-0.267447917,1,0,0,2.811175,number8,0,7,7,7,1,IMS/16-PotamocorbulaAmurensis-01.jpg,SimilarSameOrder/16-03-CytodariaSiliqua.jpg,SimilarSameOrder,51,3227,1,2021-03-31_14h45.44.822,Cognitive Biosecurity - Finding Dory,2020.1.3,MacIntel,60
-0.197986111,-0.276193576,1,0,0,5.479185,number5,0,8,8,8,1,IMS/06-CrepidulaFornicata-04.jpg,Match/06-CrepidulaFornicata-05.jpg,Match,51,3227,1,2021-03-31_14h45.44.822,Cognitive Biosecurity - Finding Dory,2020.1.3,MacIntel,60
-0.401163194,-0.269179687,1,0,0,3.496705,number3,0,9,9,9,1,IMS/09-HydroidesSanctaecrucis-03.jpg,SimilarSameOrder/09-02-MyxicolaInfundibulum.jpg,SimilarSameOrder,51,3227,1,2021-03-31_14h45.44.822,Cognitive Biosecurity - Finding Dory,2020.1.3,MacIntel,60
-0.557178819,-0.26062934,1,0,0,5.06259,number1,0,10,10,10,1,IMS/02-AsteriasAmurensis-02.jpg,SimilarSameOrder/02-01-HeliasterSolaris.jpg,SimilarSameOrder,51,3227,1,2021-03-31_14h45.44.822,Cognitive Biosecurity - Finding Dory,2020.1.3,MacIntel,60
0.575802951,-0.252921007,1,0,0,3.845565,number12,0,11,11,11,1,IMS/04-CharybdisJaponica-03.jpg,SimilarSameGenus/04-01-CharybdisHellerii.jpg,SimilarSameGenus,51,3227,1,2021-03-31_14h45.44.822,Cognitive Biosecurity - Finding Dory,2020.1.3,MacIntel,60
-0.348424479,-0.271866319,1,0,0,6.915895,number3,0,12,12,12,1,IMS/12-PatiriellaRegularis-03.jpg,SimilarSameFamily/12-01-CalloptiriaGranfera.jpg,SimilarSameFamily,51,3227,1,2021-03-31_14h45.44.822,Cognitive Biosecurity - Finding Dory,2020.1.3,MacIntel,60
0.619440104,-0.27609809,1,0,0,2.479005,number12,0,13,13,13,1,IMS/13-PernaCanaliculus-04.jpg,Match/13-PernaCanaliculus-07.jpg,Match,51,3227,1,2021-03-31_14h45.44.822,Cognitive Biosecurity - Finding Dory,2020.1.3,MacIntel,60
0.4446875,-0.286193576,1,0,0,1.96282,number11,0,14,14,14,1,IMS/09-HydroidesSanctaecrucis-02.jpg,Match/09-HydroidesSanctaecrucis-05.jpg,Match,51,3227,1,2021-03-31_14h45.44.822,Cognitive Biosecurity - Finding Dory,2020.1.3,MacIntel,60
0.38780816,-0.272391493,1,0,0,3.279835,number10,0,15,15,15,1,IMS/17-RapanaVenosa-01.jpg,Match/17-RapanaVenosa-05.jpg,Match,51,3227,1,2021-03-31_14h45.44.822,Cognitive Biosecurity - Finding Dory,2020.1.3,MacIntel,60
