mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile1,ImageFile2,MatchSimilar,SequenceNumber,participant,source,date,expName,psychopyVersion,OS,frameRate
0.663650124,-0.259175488,1,0,0,1.82081,number12,0,61,61,61,1,IMS/07-EuchoneLimnicola-03.jpg,Match/07-EuchoneLimnicola-05.jpg,Match,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.667672368,-0.247109122,1,0,0,2.89494,number12,0,62,62,62,1,IMS/06-CrepidulaFornicata-04.jpg,Match/06-CrepidulaFornicata-06.jpg,Match,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
-0.350930097,-0.250125714,1,0,0,3.29699,number4,0,63,63,63,1,IMS/18-SabellaSpallanzanii-02.jpg,SimilarSameOrder/18-02-FicopomatusEnigmaticus.jpg,SimilarSameOrder,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.448466608,-0.244092531,1,0,0,1.88362,number10,0,64,64,64,1,IMS/18-SabellaSpallanzanii-01.jpg,SimilarSameGenus/18-01-SabellaPavonina.jpg,SimilarSameGenus,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.450477669,-0.235042757,1,0,0,1.987165,number10,0,65,65,65,1,IMS/18-SabellaSpallanzanii-04.jpg,SimilarSameFamily/18-01-SabellastarteMagnifica.jpg,SimilarSameFamily,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.431372591,-0.235042757,1,0,0,0.994715,number10,0,66,66,66,1,IMS/15-PernaViridis-02.jpg,Match/15-PernaViridis-06.jpg,Match,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.431372591,-0.235042757,1,0,0,1.743545,number10,0,67,67,67,1,IMS/12-PatiriellaRegularis-01.jpg,SimilarSameFamily/12-01-PseudonepanthiaTroughtoni.jpg,SimilarSameFamily,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.431372591,-0.235042757,1,0,0,1.69355,number10,0,68,68,68,1,IMS/12-PatiriellaRegularis-02.jpg,SimilarSameOrder/12-01-TosiaMagnifica.jpg,SimilarSameOrder,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.431372591,-0.235042757,1,0,0,0.96205,number10,0,69,69,69,1,IMS/04-CharybdisJaponica-03.jpg,SimilarSameGenus/04-01-CharybdisFeriata.jpg,SimilarSameGenus,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.42936153,-0.235042757,1,0,0,0.846015,number10,0,70,70,70,1,IMS/04-CharybdisJaponica-01.jpg,SimilarSameOrder/04-01-GrapsusGrapsus.jpg,SimilarSameOrder,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
0.423328347,-0.233031696,1,0,0,1.245545,number10,0,71,71,71,1,IMS/10-MyaJaponica-03.jpg,SimilarSameGenus/10-03-MyaTruncata.jpg,SimilarSameGenus,47,33650,2,2021-04-01_15h56.37.943,Cognitive Biosecurity - Finding Dory,2020.1.3,Win32,60
